fipscode,state,county,year,v001_rawvalue,v009_rawvalue,v011_rawvalue,v036_rawvalue,v042_rawvalue,v049_rawvalue,v060_rawvalue,v070_rawvalue,v139_rawvalue,v143_rawvalue,county_ranked
1001,AL,Autauga County,2018,9409.294766,0.191246585,0.364,4.200577983,4.306739284,0.168780151,0.124,0.309,0.139,0.359054061,1
1003,AL,Baldwin County,2018,7467.596664,0.167954852,0.293,4.098747769,4.249648781,0.167149687,0.111,0.245,0.13,0.333058681,1
1005,AL,Barbour County,2018,8929.474982,0.215408776,0.442,5.067438304,4.634994147,0.126987154,0.182,0.306,0.234,0.385631671,1
1007,AL,Bibb County,2018,11741.93889,0.199164042,0.384,4.363377278,4.315710019,0.159251508,0.146,0.375,0.161,0.381488654,1
1009,AL,Blount County,2018,9359.122343,0.196521582,0.358,4.512752648,4.701599259,0.153787219,0.144,0.29,0.113,0.359450104,1
1011,AL,Bullock County,2018,12343.05287,0.234782912,0.402,5.22661939,4.791918477,0.128963173,0.195,0.298,0.244,0.450206359,1
1013,AL,Butler County,2018,12779.30485,0.221976555,0.36,5.117432617,5.134573082,0.130428113,0.175,0.339,0.22,0.419110839,1
1015,AL,Calhoun County,2018,11527.7812,0.204622318,0.361,4.290448066,4.476572166,0.15431677,0.163,0.325,0.174,0.41314344,1
1017,AL,Chambers County,2018,10350.04758,0.220403696,0.38,5.037044668,4.93264621,0.135284509,0.16,0.326,0.203,0.372665748,1
1019,AL,Cherokee County,2018,11683.17111,0.191448526,0.355,4.277917079,4.681252945,0.152327307,0.129,0.359,0.139,0.353550708,1
1021,AL,Chilton County,2018,11099.68353,0.19673275,0.36,4.736277114,4.625572407,0.150643127,0.141,0.298,0.135,0.351745693,1
1023,AL,Choctaw County,2018,11558.65447,0.190620596,0.395,4.738148772,4.756276958,0.130252404,0.166,0.331,0.212,0.382911743,1
1025,AL,Clarke County,2018,9133.840426,0.209333227,0.384,5.034122472,4.803871485,0.133536953,0.168,0.294,0.247,0.408447797,1
1027,AL,Clay County,2018,10235.92252,0.191394044,0.381,4.472032396,4.586048237,0.148191337,0.144,0.316,0.15,0.385405249,1
1029,AL,Cleburne County,2018,11380.4833,0.197105118,0.346,4.350971986,4.623916344,0.159700472,0.127,0.322,0.135,0.335047847,1
1031,AL,Coffee County,2018,7295.411499,0.182012209,0.342,4.548244453,4.606066663,0.155284197,0.155,0.298,0.151,0.373047319,1
1033,AL,Colbert County,2018,10566.51333,0.183711465,0.346,4.33704826,4.491632202,0.158227726,0.174,0.309,0.166,0.36950783,1
1035,AL,Conecuh County,2018,12051.45211,0.234799972,0.382,5.570187931,5.280280409,0.114525511,0.182,0.31,0.244,0.42320373,1
1037,AL,Coosa County,2018,9704.480849,0.205045703,0.401,4.824660434,4.707157119,0.13531704,0.156,0.296,0.177,0.36809372,1
1039,AL,Covington County,2018,10307.0633,0.209398108,0.338,4.769999561,4.797046713,0.154018905,0.141,0.309,0.163,0.359124488,1
1041,AL,Crenshaw County,2018,9452.323779,0.199771366,0.396,4.589517957,4.664164618,0.144356462,0.151,0.299,0.167,0.375518614,1
1043,AL,Cullman County,2018,10054.25279,0.203406049,0.346,4.496509287,4.750576614,0.158956495,0.163,0.293,0.129,0.353742665,1
1045,AL,Dale County,2018,7910.29161,0.186121847,0.365,4.716841145,4.441554918,0.143945089,0.143,0.288,0.168,0.408458477,1
1047,AL,Dallas County,2018,12998.98457,0.221968346,0.424,5.139038564,5.075556949,0.120164766,0.175,0.298,0.298,0.423243532,1
1049,AL,DeKalb County,2018,9760.520702,0.223633532,0.305,4.54743569,4.650328658,0.148939633,0.122,0.32,0.117,0.358159216,1
1051,AL,Elmore County,2018,8817.977538,0.186610509,0.365,4.227616682,4.407985912,0.165722236,0.132,0.296,0.142,0.384243262,1
1053,AL,Escambia County,2018,10773.23,0.208680775,0.386,4.850478435,4.695159577,0.131466349,0.187,0.32,0.201,0.397483296,1
1055,AL,Etowah County,2018,11419.0149,0.231303586,0.368,4.982018509,4.909352036,0.138046706,0.155,0.342,0.159,0.408355939,1
1057,AL,Fayette County,2018,10281.84983,0.200330002,0.356,4.57422857,4.622769215,0.149091341,0.144,0.366,0.161,0.38915262,1
1059,AL,Franklin County,2018,11639.52447,0.208874823,0.332,4.742667937,4.854164447,0.149535981,0.136,0.377,0.135,0.384206678,1
1061,AL,Geneva County,2018,9969.70114,0.22304881,0.366,4.921944506,4.909681346,0.146565498,0.158,0.293,0.155,0.369211458,1
1063,AL,Greene County,2018,14001.42852,0.2442496,0.423,5.644848957,5.255158616,0.099536822,0.211,0.315,0.318,0.452354527,1
1065,AL,Hale County,2018,10560.72174,0.220626342,0.414,5.189538519,4.982512752,0.129096037,0.171,0.335,0.236,0.417954361,1
1067,AL,Henry County,2018,7766.294558,0.196666286,0.378,4.642782789,4.544628076,0.136764088,0.189,0.31,0.162,0.381146187,1
1069,AL,Houston County,2018,8719.678068,0.215092013,0.333,4.760683454,4.420156546,0.156056708,0.136,0.293,0.176,0.37046312,1
1071,AL,Jackson County,2018,11391.85656,0.223137428,0.369,4.579478572,4.788288001,0.151252171,0.142,0.316,0.143,0.38042658,1
